dataset,fastme,mh,gap,time_min,K,lifted_tri,weak_bun,contraction,iterated
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,15,20,false,true,true,false
09-M82.txt,0.32700905010645887,0.32672971527284034,0.0008542113238994124,60,20,false,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,5,30,false,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,15,30,false,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,60,30,false,true,true,false
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,5,5,true,false,true,false
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,15,5,true,false,true,false
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,60,5,true,false,true,false
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,5,5,true,false,true,false
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,15,5,true,false,true,false
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,60,5,true,false,true,false
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,5,5,true,false,true,false
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,15,5,true,false,true,false
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,60,5,true,false,true,false
04-SeedPlants500.txt,2.34625086897285,2.3459711395827507,0.00011922398998271185,5,10,true,false,true,false
04-SeedPlants500.txt,2.34625086897285,2.345660445821164,0.0002516453630316528,15,10,true,false,true,false
04-SeedPlants500.txt,2.34625086897285,2.345660445821164,0.0002516453630316528,60,10,true,false,true,false
04-SeedPlants500.txt,2.34625086897285,2.34625086897285,0.0,5,20,true,false,true,false
04-SeedPlants500.txt,2.34625086897285,2.345955224366469,0.00012600724427670607,15,20,true,false,true,false
04-SeedPlants500.txt,2.34625086897285,2.345414957267893,0.0003562755014868357,60,20,true,false,true,false
04-SeedPlants500.txt,2.34625086897285,2.34625086897285,0.0,5,30,true,false,true,false
04-SeedPlants500.txt,2.34625086897285,2.34625086897285,0.0,15,30,true,false,true,false
04-SeedPlants500.txt,2.34625086897285,2.34625086897285,0.0,60,30,true,false,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,10,true,false,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,10,true,false,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,10,true,false,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,20,true,false,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,20,true,false,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,20,true,false,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,15,true,false,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,15,true,false,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,15,true,false,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,10,true,false,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,10,true,false,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,10,true,false,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,20,true,false,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,20,true,false,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,20,true,false,true,false
